Earnings,Ethnicity,Sex,Height,Education,Age
50000,White,Male,74,16,45
60000,White,Female,66,16,58
30000,White,Female,64,16,29
51000,White,Female,63,17,39
9000,White,Female,64,15,26
29000,White,Female,62,12,49
32000,White,Male,73,17,46
2000,Hispanic,Male,72,15,21
27000,White,Male,72,12,26
30000,White,Male,68,11,34
12000,White,Male,68,12,27
12000,White,Female,65,12,51
22000,White,Female,66,16,35
17000,White,Male,68,12,58
40000,White,Female,68,14,29
44000,White,Male,70,13,44
7000,Black,Female,64,12,55
53000,Black,Male,73,13,35
5000,White,Female,62,13,51
14000,White,Female,63,14,21
5500,White,Male,67,14,22
40000,White,Female,66,12,41
34000,White,Male,72,12,45
10000,Black,Female,63,12,35
27000,White,Female,64,16,60
50000,White,Male,72,16,38
41000,White,Male,77,16,33
15000,White,Female,64,14,25
25000,White,Female,64,12,33
75000,White,Male,72,17,39
27000,White,Male,68,17,31
12000,White,Female,64,12,26
30000,Black,Female,67,14,31
21000,White,Female,65,12,57
27000,White,Female,64,14,26
25000,White,Female,65,12,30
24000,White,Female,65,12,41
32000,White,Female,67,18,29
10000,White,Female,68,17,30
11000,Hispanic,Female,60,12,21
18700,White,Female,65,13,32
20000,White,Female,62,12,29
3500,White,Male,72,10,18
13000,Black,Male,67,8,56
21000,White,Male,70,17,41
34000,White,Female,68,17,49
17000,White,Male,71,12,28
35000,White,Male,71,12,32
4000,White,Male,73,13,18
14000,White,Female,68,14,55
10000,White,Female,66,12,57
25000,White,Male,69,16,29
16000,White,Female,63,14,27
16000,Hispanic,Male,62,14,28
16500,White,Female,64,14,43
3840,White,Female,67,9,52
22000,White,Male,71,12,39
200,White,Female,60,16,53
26000,White,Female,66,16,27
2500,White,Female,66,15,21
17000,White,Female,65,14,39
8000,White,Female,70,13,22
10000,White,Female,62,12,47
15000,White,Male,72,12,39
2400,Hispanic,Female,67,8,39
30000,Hispanic,Male,68,12,32
30000,White,Male,70,12,33
10000,White,Female,62,12,38
5000,White,Female,63,13,26
12000,White,Female,66,13,63
20000,White,Female,70,10,61
20000,White,Female,68,12,36
20000,White,Male,70,14,23
1200,White,Female,66,12,20
700,White,Female,68,16,32
20000,White,Male,70,16,27
10000,Hispanic,Female,61,12,22
40000,White,Female,64,14,56
60000,White,Female,69,18,63
16040,White,Female,64,12,33
15000,Black,Female,67,14,30
10000,White,Male,69,17,23
33000,White,Female,67,13,43
18000,White,Female,68,12,30
15000,White,Female,63,12,37
21000,White,Male,71,12,22
21000,Black,Female,64,17,43
37000,White,Male,68,11,37
38000,White,Female,68,17,44
